"ISOcode","AgeStart","AgeEnd","Ri"
4,0,4,0
4,5,9,0
4,10,14,6
4,15,19,13
4,20,24,18
4,25,29,19
4,30,34,21
4,35,39,21
4,40,44,30
4,45,49,41
4,50,54,51
4,55,59,59
4,60,64,63
4,65,69,60
4,70,74,50
4,75,79,34
4,80,84,16
4,85,999,7
8,0,4,0
8,5,9,0
8,10,14,0
8,15,19,0
8,20,24,1
8,25,29,2
8,30,34,4
8,35,39,6
8,40,44,9
8,45,49,13
8,50,54,19
8,55,59,30
8,60,64,38
8,65,69,35
8,70,74,32
8,75,79,24
8,80,84,19
8,85,999,13
12,0,4,0
12,5,9,0
12,10,14,1
12,15,19,5
12,20,24,12
12,25,29,39
12,30,34,52
12,35,39,98
12,40,44,165
12,45,49,222
12,50,54,303
12,55,59,407
12,60,64,444
12,65,69,434
12,70,74,338
12,75,79,236
12,80,84,174
12,85,999,144
24,0,4,0
24,5,9,0
24,10,14,0
24,15,19,6
24,20,24,11
24,25,29,11
24,30,34,30
24,35,39,51
24,40,44,24
24,45,49,12
24,50,54,20
24,55,59,25
24,60,64,51
24,65,69,85
24,70,74,6
24,75,79,0
24,80,84,0
24,85,999,0
31,0,4,0
31,5,9,0
31,10,14,0
31,15,19,0
31,20,24,2
31,25,29,3
31,30,34,5
31,35,39,17
31,40,44,29
31,45,49,44
31,50,54,67
31,55,59,103
31,60,64,122
31,65,69,99
31,70,74,57
31,75,79,28
31,80,84,22
31,85,999,16
32,0,4,0
32,5,9,0
32,10,14,0
32,15,19,3
32,20,24,7
32,25,29,35
32,30,34,33
32,35,39,55
32,40,44,106
32,45,49,163
32,50,54,227
32,55,59,309
32,60,64,382
32,65,69,425
32,70,74,419
32,75,79,348
32,80,84,247
32,85,999,238
36,0,4,0
36,5,9,0
36,10,14,0
36,15,19,2
36,20,24,6
36,25,29,24
36,30,34,57
36,35,39,115
36,40,44,184
36,45,49,276
36,50,54,389
36,55,59,512
36,60,64,626
36,65,69,670
36,70,74,695
36,75,79,592
36,80,84,418
36,85,999,442
40,0,4,0
40,5,9,0
40,10,14,0
40,15,19,0
40,20,24,0
40,25,29,2
40,30,34,7
40,35,39,15
40,40,44,32
40,45,49,57
40,50,54,108
40,55,59,165
40,60,64,194
40,65,69,195
40,70,74,198
40,75,79,174
40,80,84,167
40,85,999,118
44,0,4,0
44,5,9,0
44,10,14,0
44,15,19,0
44,20,24,0
44,25,29,0
44,30,34,0
44,35,39,0
44,40,44,1
44,45,49,2
44,50,54,1
44,55,59,2
44,60,64,2
44,65,69,5
44,70,74,4
44,75,79,6
44,80,84,0
44,85,999,2
48,0,4,0
48,5,9,0
48,10,14,0
48,15,19,0
48,20,24,0
48,25,29,0
48,30,34,2
48,35,39,4
48,40,44,2
48,45,49,4
48,50,54,9
48,55,59,7
48,60,64,9
48,65,69,7
48,70,74,4
48,75,79,2
48,80,84,2
48,85,999,0
50,0,4,0
50,5,9,0
50,10,14,3
50,15,19,8
50,20,24,92
50,25,29,122
50,30,34,153
50,35,39,161
50,40,44,194
50,45,49,220
50,50,54,254
50,55,59,279
50,60,64,263
50,65,69,215
50,70,74,201
50,75,79,193
50,80,84,140
50,85,999,116
51,0,4,0
51,5,9,0
51,10,14,0
51,15,19,0
51,20,24,0
51,25,29,0
51,30,34,2
51,35,39,1
51,40,44,1
51,45,49,4
51,50,54,10
51,55,59,22
51,60,64,40
51,65,69,53
51,70,74,49
51,75,79,28
51,80,84,25
51,85,999,16
52,0,4,0
52,5,9,0
52,10,14,0
52,15,19,0
52,20,24,0
52,25,29,0
52,30,34,0
52,35,39,0
52,40,44,1
52,45,49,4
52,50,54,7
52,55,59,3
52,60,64,5
52,65,69,2
52,70,74,6
52,75,79,4
52,80,84,6
52,85,999,4
56,0,4,0
56,5,9,0
56,10,14,0
56,15,19,0
56,20,24,2
56,25,29,5
56,30,34,5
56,35,39,13
56,40,44,35
56,45,49,64
56,50,54,124
56,55,59,212
56,60,64,289
56,65,69,321
56,70,74,335
56,75,79,292
56,80,84,216
56,85,999,241
64,0,4,0
64,5,9,0
64,10,14,0
64,15,19,0
64,20,24,0
64,25,29,0
64,30,34,0
64,35,39,1
64,40,44,1
64,45,49,1
64,50,54,1
64,55,59,3
64,60,64,2
64,65,69,2
64,70,74,2
64,75,79,2
64,80,84,1
64,85,999,1
68,0,4,0
68,5,9,0
68,10,14,0
68,15,19,0
68,20,24,0
68,25,29,1
68,30,34,1
68,35,39,2
68,40,44,3
68,45,49,11
68,50,54,8
68,55,59,20
68,60,64,17
68,65,69,24
68,70,74,31
68,75,79,3
68,80,84,3
68,85,999,10
70,0,4,0
70,5,9,0
70,10,14,0
70,15,19,0
70,20,24,1
70,25,29,2
70,30,34,2
70,35,39,9
70,40,44,20
70,45,49,37
70,50,54,57
70,55,59,91
70,60,64,139
70,65,69,173
70,70,74,145
70,75,79,83
70,80,84,65
70,85,999,44
72,0,4,0
72,5,9,0
72,10,14,0
72,15,19,0
72,20,24,0
72,25,29,1
72,30,34,1
72,35,39,3
72,40,44,4
72,45,49,4
72,50,54,3
72,55,59,3
72,60,64,4
72,65,69,4
72,70,74,2
72,75,79,2
72,80,84,0
72,85,999,0
76,0,4,0
76,5,9,0
76,10,14,19
76,15,19,16
76,20,24,70
76,25,29,136
76,30,34,129
76,35,39,383
76,40,44,823
76,45,49,1309
76,50,54,1955
76,55,59,2692
76,60,64,3143
76,65,69,3250
76,70,74,3051
76,75,79,2529
76,80,84,1998
76,85,999,2115
84,0,4,0
84,5,9,0
84,10,14,0
84,15,19,0
84,20,24,0
84,25,29,0
84,30,34,0
84,35,39,0
84,40,44,0
84,45,49,0
84,50,54,0
84,55,59,0
84,60,64,0
84,65,69,0
84,70,74,0
84,75,79,0
84,80,84,0
84,85,999,0
90,0,4,0
90,5,9,0
90,10,14,0
90,15,19,0
90,20,24,0
90,25,29,0
90,30,34,0
90,35,39,0
90,40,44,1
90,45,49,1
90,50,54,3
90,55,59,0
90,60,64,2
90,65,69,2
90,70,74,2
90,75,79,0
90,80,84,0
90,85,999,1
96,0,4,0
96,5,9,0
96,10,14,0
96,15,19,0
96,20,24,0
96,25,29,0
96,30,34,0
96,35,39,2
96,40,44,5
