"ISOcode","AgeStart","AgeEnd","Ri"
900,0,4,0
900,5,9,0
900,10,14,169
900,15,19,562
900,20,24,1923
900,25,29,4150
900,30,34,6599
900,35,39,10604
900,40,44,19413
900,45,49,34092
900,50,54,61254
900,55,59,79923
900,60,64,96597
900,65,69,117861
900,70,74,107277
900,75,79,80292
900,80,84,58691
900,85,999,50426
905,0,4,0
905,5,9,0
905,10,14,2
905,15,19,21
905,20,24,92
905,25,29,159
905,30,34,545
905,35,39,1327
905,40,44,2515
905,45,49,3785
905,50,54,5763
905,55,59,7225
905,60,64,8195
905,65,69,7523
905,70,74,6108
905,75,79,4500
905,80,84,2796
905,85,999,2728
906,0,4,0
906,5,9,0
906,10,14,35
906,15,19,70
906,20,24,210
906,25,29,780
906,30,34,1811
906,35,39,2828
906,40,44,5594
906,45,49,11907
906,50,54,27303
906,55,59,32417
906,60,64,36705
906,65,69,54086
906,70,74,48445
906,75,79,36570
906,80,84,25834
906,85,999,21356
910,0,4,0
910,5,9,0
910,10,14,20
910,15,19,10
910,20,24,193
910,25,29,270
910,30,34,361
910,35,39,417
910,40,44,510
910,45,49,673
910,50,54,793
910,55,59,873
910,60,64,925
910,65,69,884
910,70,74,696
910,75,79,494
910,80,84,288
910,85,999,167
911,0,4,0
911,5,9,0
911,10,14,7
911,15,19,29
911,20,24,62
911,25,29,81
911,30,34,97
911,35,39,133
911,40,44,133
911,45,49,204
911,50,54,243
911,55,59,258
911,60,64,287
911,65,69,297
911,70,74,182
911,75,79,142
911,80,84,78
911,85,999,41
912,0,4,0
912,5,9,0
912,10,14,20
912,15,19,69
912,20,24,120
912,25,29,204
912,30,34,276
912,35,39,399
912,40,44,547
912,45,49,691
912,50,54,875
912,55,59,1106
912,60,64,1233
912,65,69,1166
912,70,74,897
912,75,79,639
912,80,84,451
912,85,999,332
913,0,4,0
913,5,9,0
913,10,14,2
913,15,19,6
913,20,24,16
913,25,29,59
913,30,34,94
913,35,39,187
913,40,44,225
913,45,49,274
913,50,54,336
913,55,59,406
913,60,64,406
913,65,69,411
913,70,74,393
913,75,79,298
913,80,84,171
913,85,999,80
914,0,4,0
914,5,9,0
914,10,14,5
914,15,19,9
914,20,24,65
914,25,29,159
914,30,34,324
914,35,39,321
914,40,44,390
914,45,49,486
914,50,54,590
914,55,59,729
914,60,64,749
914,65,69,626
914,70,74,462
914,75,79,314
914,80,84,146
914,85,999,60
915,0,4,0
915,5,9,0
915,10,14,0
915,15,19,3
915,20,24,7
915,25,29,15
915,30,34,20
915,35,39,34
915,40,44,59
915,45,49,113
915,50,54,180
915,55,59,276
915,60,64,324
915,65,69,351
915,70,74,336
915,75,79,257
915,80,84,180
915,85,999,174
916,0,4,0
916,5,9,0
916,10,14,0
916,15,19,12
916,20,24,28
916,25,29,56
916,30,34,109
916,35,39,137
916,40,44,225
916,45,49,349
916,50,54,475
916,55,59,603
916,60,64,677
916,65,69,666
916,70,74,542
916,75,79,384
916,80,84,266
916,85,999,254
920,0,4,0
920,5,9,0
920,10,14,12
920,15,19,64
920,20,24,228
920,25,29,568
920,30,34,483
920,35,39,935
920,40,44,1877
920,45,49,3141
920,50,54,4915
920,55,59,6731
920,60,64,7924
920,65,69,7710
920,70,74,5922
920,75,79,4131
920,80,84,2807
920,85,999,2292
921,0,4,0
921,5,9,0
921,10,14,45
921,15,19,211
921,20,24,647
921,25,29,1095
921,30,34,1487
921,35,39,1784
921,40,44,2464
921,45,49,3379
921,50,54,4464
921,55,59,5816
921,60,64,6782
921,65,69,6693
921,70,74,5098
921,75,79,3329
921,80,84,2016
921,85,999,1279
922,0,4,0
922,5,9,0
922,10,14,1
922,15,19,5
922,20,24,53
922,25,29,166
922,30,34,245
922,35,39,489
922,40,44,791
922,45,49,1189
922,50,54,1556
922,55,59,1878
922,60,64,2086
922,65,69,2111
922,70,74,1712
922,75,79,1265
922,80,84,867
922,85,999,663
923,0,4,0
923,5,9,0
923,10,14,0
923,15,19,3
923,20,24,33
923,25,29,98
923,30,34,159
923,35,39,339
923,40,44,1123
923,45,49,2361
923,50,54,4011
923,55,59,6590
923,60,64,11120
923,65,69,13388
923,70,74,12201
923,75,79,6658
923,80,84,5608
923,85,999,3802
924,0,4,0
924,5,9,0
924,10,14,0
924,15,19,2
924,20,24,15
924,25,29,47
924,30,34,67
924,35,39,126
924,40,44,337
924,45,49,670
924,50,54,1369
924,55,59,2307
924,60,64,3056
924,65,69,3624
924,70,74,4305
924,75,79,4216
924,80,84,2992
924,85,999,3070
925,0,4,0
925,5,9,0
925,10,14,0
925,15,19,4
925,20,24,15
925,25,29,34
925,30,34,80
925,35,39,202
925,40,44,552
925,45,49,1300
925,50,54,2291
925,55,59,3443
925,60,64,4439
925,65,69,5337
925,70,74,6280
925,75,79,5631
925,80,84,4492
925,85,999,4444
926,0,4,0
926,5,9,0
926,10,14,0
926,15,19,5
926,20,24,23
926,25,29,71
926,30,34,121
926,35,39,214
926,40,44,633
926,45,49,1266
926,50,54,2648
926,55,59,4493
926,60,64,5988
926,65,69,6992
926,70,74,8026
926,75,79,6803
926,80,84,6165
926,85,999,6012
927,0,4,0
927,5,9,0
927,10,14,0
927,15,19,2
927,20,24,7
927,25,29,30
927,30,34,58
927,35,39,120
927,40,44,200
927,45,49,312
927,50,54,461
927,55,59,634
927,60,64,801
927,65,69,876
927,70,74,922
927,75,79,790
927,80,84,554
927,85,999,572
928,0,4,0
928,5,9,0
928,10,14,0
928,15,19,0
928,20,24,0
928,25,29,0
928,30,34,0
928,35,39,8
928,40,44,14
928,45,49,22
928,50,54,41
928,55,59,47
928,60,64,67
928,65,69,59
928,70,74,38
928,75,79,23
928,80,84,20
928,85,999,18
931,0,4,0
931,5,9,0
931,10,14,20
931,15,19,37
931,20,24,109
931,25,29,258
931,30,34,262
931,35,39,604
931,40,44,1224
931,45,49,1966
931,50,54,2927
931,55,59,4078
931,60,64,4820
931,65,69,5047
931,70,74,4701
931,75,79,3837
931,80,84,2954
931,85,999,3080
954,0,4,0
954,5,9,0
954,10,14,0
954,15,19,0
954,20,24,0
954,25,29,0
954,30,34,0
954,35,39,0
954,40,44,0
954,45,49,3
954,50,54,6
954,55,59,6
954,60,64,6
954,65,69,6
954,70,74,4
954,75,79,4
954,80,84,2
954,85,999,0
957,0,4,0
957,5,9,0
957,10,14,0
957,15,19,0
957,20,24,0
957,25,29,0
957,30,34,0
957,35,39,0
957,40,44,0
957,45,49,1
957,50,54,7
957,55,59,7
957,60,64,7
957,65,69,8
957,70,74,7
957,75,79,7
957,80,84,4
957,85,999,2
