"ISOcode","AgeStart","AgeEnd","Di"
4,0,4,0
4,5,9,0
4,10,14,0
4,15,19,7
4,20,24,11
4,25,29,11
4,30,34,12
4,35,39,12
4,40,44,14
4,45,49,22
4,50,54,29
4,55,59,34
4,60,64,35
4,65,69,33
4,70,74,30
4,75,79,21
4,80,84,10
4,85,999,4
8,0,4,0
8,5,9,0
8,10,14,0
8,15,19,0
8,20,24,0
8,25,29,0
8,30,34,0
8,35,39,0
8,40,44,0
8,45,49,3
8,50,54,6
8,55,59,11
8,60,64,17
8,65,69,22
8,70,74,22
8,75,79,20
8,80,84,18
8,85,999,14
12,0,4,0
12,5,9,0
12,10,14,0
12,15,19,1
12,20,24,28
12,25,29,12
12,30,34,9
12,35,39,27
12,40,44,56
12,45,49,90
12,50,54,132
12,55,59,165
12,60,64,190
12,65,69,211
12,70,74,205
12,75,79,186
12,80,84,174
12,85,999,179
24,0,4,0
24,5,9,0
24,10,14,0
24,15,19,0
24,20,24,6
24,25,29,6
24,30,34,25
24,35,39,23
24,40,44,4
24,45,49,6
24,50,54,14
24,55,59,21
24,60,64,30
24,65,69,58
24,70,74,6
24,75,79,2
24,80,84,0
24,85,999,0
31,0,4,0
31,5,9,0
31,10,14,1
31,15,19,0
31,20,24,2
31,25,29,0
31,30,34,1
31,35,39,9
31,40,44,13
31,45,49,25
31,50,54,39
31,55,59,58
31,60,64,69
31,65,69,58
31,70,74,37
31,75,79,21
31,80,84,20
31,85,999,16
32,0,4,0
32,5,9,0
32,10,14,0
32,15,19,1
32,20,24,1
32,25,29,5
32,30,34,13
32,35,39,21
32,40,44,26
32,45,49,42
32,50,54,65
32,55,59,97
32,60,64,125
32,65,69,146
32,70,74,158
32,75,79,153
32,80,84,135
32,85,999,165
36,0,4,0
36,5,9,0
36,10,14,0
36,15,19,0
36,20,24,0
36,25,29,6
36,30,34,15
36,35,39,16
36,40,44,23
36,45,49,42
36,50,54,69
36,55,59,104
36,60,64,148
36,65,69,187
36,70,74,244
36,75,79,289
36,80,84,282
36,85,999,401
40,0,4,0
40,5,9,0
40,10,14,0
40,15,19,0
40,20,24,0
40,25,29,0
40,30,34,1
40,35,39,3
40,40,44,7
40,45,49,13
40,50,54,28
40,55,59,47
40,60,64,63
40,65,69,77
40,70,74,107
40,75,79,123
40,80,84,157
40,85,999,151
44,0,4,0
44,5,9,0
44,10,14,0
44,15,19,0
44,20,24,0
44,25,29,0
44,30,34,0
44,35,39,0
44,40,44,0
44,45,49,1
44,50,54,1
44,55,59,2
44,60,64,2
44,65,69,4
44,70,74,2
44,75,79,2
44,80,84,1
44,85,999,0
48,0,4,0
48,5,9,0
48,10,14,0
48,15,19,0
48,20,24,0
48,25,29,0
48,30,34,0
48,35,39,1
48,40,44,2
48,45,49,1
48,50,54,3
48,55,59,1
48,60,64,4
48,65,69,3
48,70,74,3
48,75,79,1
48,80,84,2
48,85,999,2
50,0,4,0
50,5,9,0
50,10,14,1
50,15,19,5
50,20,24,52
50,25,29,87
50,30,34,86
50,35,39,83
50,40,44,80
50,45,49,120
50,50,54,152
50,55,59,171
50,60,64,155
50,65,69,119
50,70,74,116
50,75,79,121
50,80,84,94
50,85,999,84
51,0,4,0
51,5,9,0
51,10,14,0
51,15,19,0
51,20,24,0
51,25,29,0
51,30,34,0
51,35,39,1
51,40,44,0
51,45,49,2
51,50,54,5
51,55,59,10
51,60,64,19
51,65,69,23
51,70,74,29
51,75,79,20
51,80,84,19
51,85,999,16
52,0,4,0
52,5,9,0
52,10,14,0
52,15,19,0
52,20,24,0
52,25,29,0
52,30,34,0
52,35,39,0
52,40,44,0
52,45,49,1
52,50,54,1
52,55,59,1
52,60,64,4
52,65,69,2
52,70,74,5
52,75,79,3
52,80,84,3
52,85,999,4
56,0,4,0
56,5,9,0
56,10,14,0
56,15,19,0
56,20,24,0
56,25,29,0
56,30,34,2
56,35,39,2
56,40,44,6
56,45,49,13
56,50,54,27
56,55,59,46
56,60,64,64
56,65,69,89
56,70,74,128
56,75,79,144
56,80,84,147
56,85,999,213
64,0,4,0
64,5,9,0
64,10,14,0
64,15,19,0
64,20,24,0
64,25,29,0
64,30,34,0
64,35,39,1
64,40,44,1
64,45,49,1
64,50,54,1
64,55,59,2
64,60,64,2
64,65,69,1
64,70,74,2
64,75,79,1
64,80,84,1
64,85,999,1
68,0,4,0
68,5,9,0
68,10,14,0
68,15,19,0
68,20,24,0
68,25,29,0
68,30,34,0
68,35,39,0
68,40,44,2
68,45,49,6
68,50,54,0
68,55,59,8
68,60,64,0
68,65,69,12
68,70,74,14
68,75,79,3
68,80,84,0
68,85,999,7
70,0,4,0
70,5,9,0
70,10,14,0
70,15,19,0
70,20,24,0
70,25,29,0
70,30,34,1
70,35,39,2
70,40,44,6
70,45,49,11
70,50,54,20
70,55,59,38
70,60,64,70
70,65,69,97
70,70,74,92
70,75,79,64
70,80,84,61
70,85,999,55
72,0,4,0
72,5,9,0
72,10,14,0
72,15,19,0
72,20,24,0
72,25,29,1
72,30,34,1
72,35,39,2
72,40,44,2
72,45,49,0
72,50,54,0
72,55,59,0
72,60,64,2
72,65,69,4
72,70,74,2
72,75,79,2
72,80,84,0
72,85,999,0
76,0,4,0
76,5,9,0
76,10,14,2
76,15,19,3
76,20,24,21
76,25,29,30
76,30,34,124
76,35,39,133
76,40,44,239
76,45,49,419
76,50,54,663
76,55,59,986
76,60,64,1237
76,65,69,1359
76,70,74,1325
76,75,79,1189
76,80,84,1030
76,85,999,1187
84,0,4,0
84,5,9,0
84,10,14,0
84,15,19,0
84,20,24,0
84,25,29,0
84,30,34,0
84,35,39,0
84,40,44,0
84,45,49,0
84,50,54,0
84,55,59,0
84,60,64,0
84,65,69,0
84,70,74,0
84,75,79,0
84,80,84,0
84,85,999,0
90,0,4,0
90,5,9,0
90,10,14,0
90,15,19,0
90,20,24,0
90,25,29,0
90,30,34,0
90,35,39,0
90,40,44,0
90,45,49,0
90,50,54,0
90,55,59,0
90,60,64,0
90,65,69,5
90,70,74,0
90,75,79,0
90,80,84,0
90,85,999,0
96,0,4,0
96,5,9,0
96,10,14,0
96,15,19,0
96,20,24,0
96,25,29,0
96,30,34,0
96,35,39,2
96,40,44,3
