"ISOcode","AgeStart","AgeEnd","Di"
900,0,4,0
900,5,9,0
900,10,14,53
900,15,19,237
900,20,24,865
900,25,29,1754
900,30,34,2880
900,35,39,4163
900,40,44,6265
900,45,49,11462
900,50,54,20484
900,55,59,27991
900,60,64,35690
900,65,69,47706
900,70,74,50329
900,75,79,45919
900,80,84,42529
900,85,999,45388
981,0,4,0
981,5,9,0
981,10,14,0
981,15,19,9
981,20,24,44
981,25,29,166
981,30,34,455
981,35,39,919
981,40,44,1637
981,45,49,3224
981,50,54,5771
981,55,59,9100
981,60,64,13270
981,65,69,16800
981,70,74,19959
981,75,79,19396
981,80,84,19706
981,85,999,24377
982,0,4,0
982,5,9,0
982,10,14,23
982,15,19,52
982,20,24,178
982,25,29,463
982,30,34,1031
982,35,39,1586
982,40,44,2674
982,45,49,5257
982,50,54,10483
982,55,59,13530
982,60,64,16366
982,65,69,24898
982,70,74,25317
982,75,79,22580
982,80,84,20212
982,85,999,19210
983,0,4,0
983,5,9,0
983,10,14,11
983,15,19,77
983,20,24,334
983,25,29,621
983,30,34,880
983,35,39,1022
983,40,44,1233
983,45,49,2061
983,50,54,3113
983,55,59,4084
983,60,64,4653
983,65,69,4644
983,70,74,3855
983,75,79,3008
983,80,84,2065
983,85,999,1492
984,0,4,0
984,5,9,0
984,10,14,19
984,15,19,99
984,20,24,309
984,25,29,504
984,30,34,514
984,35,39,636
984,40,44,721
984,45,49,920
984,50,54,1117
984,55,59,1277
984,60,64,1401
984,65,69,1364
984,70,74,1198
984,75,79,935
984,80,84,546
984,85,999,309
