"ISOcode","AgeStart","AgeEnd","Di"
900,0,4,0
900,5,9,0
900,10,14,53
900,15,19,237
900,20,24,865
900,25,29,1754
900,30,34,2880
900,35,39,4163
900,40,44,6267
900,45,49,11463
900,50,54,20494
900,55,59,27999
900,60,64,35703
900,65,69,47722
900,70,74,50342
900,75,79,45931
900,80,84,42542
900,85,999,45402
905,0,4,0
905,5,9,0
905,10,14,0
905,15,19,2
905,20,24,10
905,25,29,43
905,30,34,110
905,35,39,251
905,40,44,494
905,45,49,767
905,50,54,1217
905,55,59,1704
905,60,64,2168
905,65,69,2260
905,70,74,2212
905,75,79,2329
905,80,84,2159
905,85,999,3085
906,0,4,0
906,5,9,0
906,10,14,14
906,15,19,31
906,20,24,74
906,25,29,219
906,30,34,579
906,35,39,933
906,40,44,1671
906,45,49,3664
906,50,54,8191
906,55,59,10382
906,60,64,12491
906,65,69,21020
906,70,74,22629
906,75,79,21714
906,80,84,19991
906,85,999,20845
910,0,4,0
910,5,9,0
910,10,14,12
910,15,19,2
910,20,24,135
910,25,29,213
910,30,34,238
910,35,39,278
910,40,44,349
910,45,49,429
910,50,54,530
910,55,59,591
910,60,64,640
910,65,69,619
910,70,74,544
910,75,79,423
910,80,84,262
910,85,999,161
911,0,4,0
911,5,9,0
911,10,14,5
911,15,19,19
911,20,24,41
911,25,29,53
911,30,34,69
911,35,39,85
911,40,44,63
911,45,49,120
911,50,54,148
911,55,59,171
911,60,64,196
911,65,69,222
911,70,74,153
911,75,79,126
911,80,84,74
911,85,999,41
912,0,4,0
912,5,9,0
912,10,14,0
912,15,19,36
912,20,24,92
912,25,29,118
912,30,34,126
912,35,39,135
912,40,44,187
912,45,49,257
912,50,54,349
912,55,59,448
912,60,64,528
912,65,69,566
912,70,74,539
912,75,79,513
912,80,84,476
912,85,999,448
913,0,4,0
913,5,9,0
913,10,14,0
913,15,19,2
913,20,24,4
913,25,29,16
913,30,34,29
913,35,39,49
913,40,44,53
913,45,49,69
913,50,54,98
913,55,59,123
913,60,64,153
913,65,69,167
913,70,74,137
913,75,79,130
913,80,84,110
913,85,999,77
914,0,4,0
914,5,9,0
914,10,14,3
914,15,19,8
914,20,24,53
914,25,29,158
914,30,34,164
914,35,39,192
914,40,44,249
914,45,49,314
914,50,54,410
914,55,59,489
914,60,64,535
914,65,69,496
914,70,74,398
914,75,79,283
914,80,84,138
914,85,999,59
915,0,4,0
915,5,9,0
915,10,14,0
915,15,19,1
915,20,24,1
915,25,29,4
915,30,34,7
915,35,39,13
915,40,44,16
915,45,49,40
915,50,54,51
915,55,59,90
915,60,64,108
915,65,69,142
915,70,74,162
915,75,79,141
915,80,84,121
915,85,999,132
916,0,4,0
916,5,9,0
916,10,14,0
916,15,19,3
916,20,24,7
916,25,29,16
916,30,34,39
916,35,39,62
916,40,44,88
916,45,49,121
916,50,54,162
916,55,59,210
916,60,64,243
916,65,69,279
916,70,74,252
916,75,79,214
916,80,84,158
916,85,999,165
920,0,4,0
920,5,9,0
920,10,14,1
920,15,19,8
920,20,24,22
920,25,29,165
920,30,34,191
920,35,39,389
920,40,44,658
920,45,49,1206
920,50,54,1995
920,55,59,2746
920,60,64,3443
920,65,69,3847
920,70,74,3610
920,75,79,3009
920,80,84,2379
920,85,999,2236
921,0,4,0
921,5,9,0
921,10,14,15
921,15,19,112
921,20,24,356
921,25,29,605
921,30,34,814
921,35,39,944
921,40,44,1042
921,45,49,1725
921,50,54,2517
921,55,59,3353
921,60,64,3800
921,65,69,3574
921,70,74,2831
921,75,79,2024
921,80,84,1353
921,85,999,977
922,0,4,0
922,5,9,0
922,10,14,1
922,15,19,3
922,20,24,27
922,25,29,29
922,30,34,128
922,35,39,219
922,40,44,331
922,45,49,474
922,50,54,622
922,55,59,757
922,60,64,830
922,65,69,887
922,70,74,804
922,75,79,756
922,80,84,680
922,85,999,682
923,0,4,0
923,5,9,0
923,10,14,0
923,15,19,3
923,20,24,8
923,25,29,21
923,30,34,84
923,35,39,194
923,40,44,277
923,45,49,802
923,50,54,1542
923,55,59,2711
923,60,64,4917
923,65,69,6427
923,70,74,6767
923,75,79,4194
923,80,84,4323
923,85,999,3647
924,0,4,0
924,5,9,0
924,10,14,0
924,15,19,0
924,20,24,1
924,25,29,19
924,30,34,52
924,35,39,80
924,40,44,146
924,45,49,240
924,50,54,450
924,55,59,709
924,60,64,994
924,65,69,1390
924,70,74,2100
924,75,79,2584
924,80,84,2347
924,85,999,3005
925,0,4,0
925,5,9,0
925,10,14,0
925,15,19,0
925,20,24,0
925,25,29,1
925,30,34,16
925,35,39,36
925,40,44,112
925,45,49,279
925,50,54,519
925,55,59,825
925,60,64,1128
925,65,69,1540
925,70,74,2142
925,75,79,2384
925,80,84,2559
925,85,999,3380
926,0,4,0
926,5,9,0
926,10,14,0
926,15,19,0
926,20,24,1
926,25,29,3
926,30,34,26
926,35,39,51
926,40,44,126
926,45,49,272
926,50,54,606
926,55,59,1078
926,60,64,1456
926,65,69,1920
926,70,74,2651
926,75,79,2841
926,80,84,3417
926,85,999,4063
927,0,4,0
927,5,9,0
927,10,14,0
927,15,19,0
927,20,24,0
927,25,29,8
927,30,34,17
927,35,39,19
927,40,44,29
927,45,49,52
927,50,54,87
927,55,59,132
927,60,64,189
927,65,69,244
927,70,74,321
927,75,79,376
927,80,84,361
927,85,999,499
928,0,4,0
928,5,9,0
928,10,14,0
928,15,19,0
928,20,24,0
928,25,29,0
928,30,34,3
928,35,39,3
928,40,44,5
928,45,49,10
928,50,54,19
928,55,59,22
928,60,64,33
928,65,69,36
928,70,74,28
928,75,79,20
928,80,84,18
928,85,999,15
931,0,4,0
931,5,9,0
931,10,14,2
931,15,19,7
931,20,24,33
931,25,29,63
931,30,34,188
931,35,39,230
931,40,44,371
931,45,49,622
931,50,54,974
931,55,59,1457
931,60,64,1841
931,65,69,2077
931,70,74,2057
931,75,79,1863
931,80,84,1610
931,85,999,1885
954,0,4,0
954,5,9,0
954,10,14,0
954,15,19,0
954,20,24,0
954,25,29,0
954,30,34,0
954,35,39,0
954,40,44,0
954,45,49,0
954,50,54,6
954,55,59,0
954,60,64,6
954,65,69,6
954,70,74,0
954,75,79,0
954,80,84,2
954,85,999,0
957,0,4,0
957,5,9,0
957,10,14,0
957,15,19,0
957,20,24,0
957,25,29,0
957,30,34,0
957,35,39,0
957,40,44,0
957,45,49,0
957,50,54,1
957,55,59,1
957,60,64,4
957,65,69,3
957,70,74,5
957,75,79,7
957,80,84,4
957,85,999,0
