"","Region","AgeStart","AgeEnd","p_code","a_code","RiRi","RiDi"
"1","Total",0,14,NA,"",169,53
"2","Total",15,19,NA,"",562,237
"3","Total",20,24,NA,"",1923,865
"4","Total",25,29,NA,"",4150,1754
"5","Total",30,34,NA,"",6598,2880
"6","Total",35,39,NA,"",10602,4163
"7","Total",40,44,NA,"",19409,6265
"8","Total",45,49,NA,"",34084,11462
"9","Total",50,54,NA,"",61235,20484
"10","Total",55,59,NA,"",79898,27991
"11","Total",60,64,NA,"",96569,35690
"12","Total",65,69,NA,"",117833,47706
"13","Total",70,74,NA,"",107258,50329
"14","Total",75,79,NA,"",80275,45919
"15","Total",80,84,NA,"",58681,42529
"16","Total",85,999,NA,"",50412,45388
