Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,9,004,4,Afghanistan,0,128,-,-,128,0.43,0.36,0.02
ALB,9,008,8,Albania,0,22,-,-,22,1.0,1.3,0.06
DZA,9,012,12,Algeria,0,372,-,-,372,0.94,1.1,0.05
AGO,9,024,24,Angola,0,133,-,-,133,0.58,0.43,0.03
AZE,9,031,31,Azerbaijan,0,56,-,-,56,0.60,0.79,0.04
ARG,9,032,32,Argentina,0,239,-,-,239,0.63,0.76,0.04
AUS,9,036,36,Australia,0,388,-,-,388,1.8,2.5,0.11
AUT,9,040,40,Austria,0,56,-,-,56,0.76,1.2,0.05
BHS,9,044,44,Bahamas,0,1,-,-,1,0.30,0.37,0.02
BHR,9,048,48,Bahrain,0,8,-,-,8,0.29,0.57,0.02
BGD,9,050,50,Bangladesh,0,733,-,-,733,0.49,0.57,0.03
ARM,9,051,51,Armenia,0,4,-,-,4,0.13,0.21,0.01
BRB,9,052,52,Barbados,0,1,-,-,1,0.43,0.63,0.03
BEL,9,056,56,Belgium,0,60,-,-,60,0.68,0.96,0.04
BTN,9,064,64,Bhutan,0,2,-,-,2,0.27,0.33,0.02
BOL,9,068,68,Bolivia (Plurinational State of),0,7,-,-,7,0.07,0.08,0.00
BIH,9,070,70,Bosnia Herzegovina,0,34,-,-,34,1.3,2.0,0.08
BWA,9,072,72,Botswana,0,9,-,-,9,0.43,0.45,0.03
BRA,9,076,76,Brazil,0,1576,-,-,1576,0.81,1.1,0.05
BLZ,9,084,84,Belize,0,0,-,-,0,0.00,0.00,0.00
SLB,9,090,90,Solomon Islands,0,1,-,-,1,0.21,0.17,0.01
BRN,9,096,96,Brunei Darussalam,0,7,-,-,7,1.5,2.3,0.09
BGR,9,100,100,Bulgaria,0,28,-,-,28,0.49,0.82,0.03
MMR,9,104,104,Myanmar,0,291,-,-,291,0.62,0.73,0.04
BDI,9,108,108,Burundi,0,27,-,-,27,0.33,0.24,0.02
BLR,9,112,112,Belarus,0,58,-,-,58,0.71,1.1,0.04
KHM,9,116,116,Cambodia,0,50,-,-,50,0.34,0.37,0.02
CMR,9,120,120,Cameroon,0,80,-,-,80,0.40,0.33,0.02
CAN,9,124,124,Canada,0,523,-,-,523,1.7,2.5,0.10
CPV,9,132,132,Cape Verde,0,0,-,-,0,0.00,0.00,0.00
CAF,9,140,140,Central African Republic,0,21,-,-,21,0.59,0.48,0.03
LKA,9,144,144,Sri Lanka,0,78,-,-,78,0.47,0.56,0.03
TCD,9,148,148,Chad,0,23,-,-,23,0.22,0.15,0.01
CHL,9,152,152,Chile,0,95,-,-,95,0.57,0.79,0.03
CHN,9,156,160,China,0,9693,-,-,9693,0.82,1.2,0.05
COL,9,170,170,Colombia,0,270,-,-,270,0.61,0.76,0.04
COM,9,174,174,Comoros,0,0,-,-,0,0.00,0.00,0.00
COG,9,178,178,"Congo, Republic of",0,14,-,-,14,0.35,0.29,0.02
COD,9,180,180,"Congo, Democratic Republic of",0,258,-,-,258,0.42,0.31,0.02
CRI,9,188,188,Costa Rica,0,25,-,-,25,0.54,0.73,0.03
HRV,9,191,191,Croatia,0,34,-,-,34,1.0,1.7,0.06
CUB,9,192,192,Cuba,0,32,-,-,32,0.40,0.54,0.02
CYP,9,196,196,Cyprus,0,5,-,-,5,0.44,0.68,0.03
CZE,9,203,203,Czechia,0,64,-,-,64,0.67,1.2,0.04
BEN,9,204,204,Benin,0,24,-,-,24,0.27,0.22,0.02
DNK,9,208,208,Denmark,0,26,-,-,26,0.62,0.84,0.04
DOM,9,214,214,Dominican Republic,0,29,-,-,29,0.32,0.36,0.02
ECU,9,218,218,Ecuador,0,57,-,-,57,0.39,0.43,0.02
SLV,9,222,222,El Salvador,0,38,-,-,38,0.74,0.79,0.04
GNQ,9,226,226,Equatorial Guinea,0,6,-,-,6,0.43,0.45,0.03
ETH,9,231,231,Ethiopia,0,839,-,-,839,0.97,0.81,0.06
ERI,9,232,232,Eritrea,0,22,-,-,22,0.82,0.71,0.05
EST,9,233,233,Estonia,0,2,-,-,2,0.18,0.29,0.01
FJI,9,242,242,Fiji,0,3,-,-,3,0.39,0.45,0.02
FIN,9,246,246,Finland,0,30,-,-,30,0.70,1.0,0.04
FRA,9,250,250,France (metropolitan),0,462,-,-,462,0.97,1.3,0.06
GUF,9,254,254,French Guyana,0,0,-,-,0,0.00,0.00,0.00
PYF,9,258,258,French Polynesia,0,0,-,-,0,0.00,0.00,0.00
DJI,9,262,262,Djibouti,0,9,-,-,9,0.98,1.1,0.06
