Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,9,004,4,Afghanistan,0,509,417,621,509,2.4,1.3,0.28
ALB,9,008,8,Albania,0,245,200,300,245,5.0,8.6,0.58
DZA,9,012,12,Algeria,0,3074,2629,3594,3074,6.8,6.8,0.80
AGO,9,024,24,Angola,0,332,330,334,332,1.9,0.95,0.26
AZE,9,031,31,Azerbaijan,0,614,274,1377,614,4.9,6.0,0.60
ARG,9,032,32,Argentina,0,2997,1446,6213,2997,4.7,6.5,0.56
AUS,9,036,36,Australia,0,5008,4409,5688,5008,10.9,19.2,1.3
AUT,9,040,40,Austria,0,1432,1288,1592,1432,7.3,15.8,0.89
BHS,9,044,44,Bahamas,0,25,2,368,25,5.1,6.2,0.58
BHR,9,048,48,Bahrain,0,52,4,722,52,3.9,2.9,0.50
BGD,9,050,50,Bangladesh,0,2614,2469,2768,2614,1.6,1.6,0.18
ARM,9,051,51,Armenia,0,251,70,902,251,5.0,8.5,0.64
BRB,9,052,52,Barbados,0,42,5,343,42,7.5,14.6,0.81
BEL,9,056,56,Belgium,0,2154,2010,2309,2154,8.4,18.5,1.0
BTN,9,064,64,Bhutan,0,17,16,18,17,2.3,2.2,0.28
BOL,9,068,68,Bolivia (Plurinational State of),0,134,9,1971,134,1.2,1.1,0.18
BIH,9,070,70,Bosnia Herzegovina,0,868,773,974,868,12.6,26.7,1.6
BWA,9,072,72,Botswana,0,31,8,126,31,1.6,1.3,0.18
BRA,9,076,76,Brazil,0,23618,18603,29985,23618,7.9,11.0,0.90
BLZ,9,084,84,Belize,0,0,0,0,0,0.00,0.00,0.00
SLB,9,090,90,Solomon Islands,0,12,6,25,12,2.9,1.7,0.38
BRN,9,096,96,Brunei Darussalam,0,79,35,176,79,16.3,17.7,1.8
BGR,9,100,100,Bulgaria,0,1762,1616,1921,1762,11.0,25.7,1.4
MMR,9,104,104,Myanmar,0,2604,2190,3096,2604,4.7,4.7,0.52
BDI,9,108,108,Burundi,0,154,47,509,154,2.8,1.2,0.33
BLR,9,112,112,Belarus,0,2428,2256,2613,2428,13.1,25.7,1.7
KHM,9,116,116,Cambodia,0,709,680,739,709,5.3,4.1,0.58
CMR,9,120,120,Cameroon,0,348,38,3157,348,2.4,1.3,0.27
CAN,9,124,124,Canada,0,7338,6977,7718,7338,9.9,19.1,1.1
CPV,9,132,132,Cape Verde,0,7,1,39,7,1.6,1.2,0.22
CAF,9,140,140,Central African Republic,0,67,21,219,67,2.5,1.3,0.27
LKA,9,144,144,Sri Lanka,0,1300,1052,1606,1300,4.0,6.0,0.49
TCD,9,148,148,Chad,0,104,60,179,104,1.2,0.60,0.12
CHL,9,152,152,Chile,0,1990,964,4110,1990,6.2,10.3,0.74
CHN,9,156,160,China,0,242107,222246,263743,242107,9.5,17.2,1.1
COL,9,170,170,Colombia,0,2978,1798,4932,2978,4.5,5.8,0.52
COM,9,174,174,Comoros,0,8,3,19,8,1.8,0.88,0.25
COG,9,178,178,"Congo, Republic of",0,72,29,178,72,2.0,1.2,0.24
COD,9,180,180,"Congo, Democratic Republic of",0,1311,330,5210,1311,2.7,1.4,0.30
CRI,9,188,188,Costa Rica,0,344,227,521,344,4.6,6.6,0.52
HRV,9,191,191,Croatia,0,1560,1382,1762,1560,16.1,38.4,2.0
CUB,9,192,192,Cuba,0,892,286,2778,892,3.9,7.9,0.47
CYP,9,196,196,Cyprus,0,156,126,193,156,6.8,12.8,0.76
CZE,9,203,203,Czechia,0,2786,2614,2970,2786,11.7,26.0,1.5
BEN,9,204,204,Benin,0,156,60,406,156,2.2,1.2,0.22
DNK,9,208,208,Denmark,0,1881,1722,2054,1881,13.7,32.2,1.7
DOM,9,214,214,Dominican Republic,0,216,19,2508,216,1.8,2.0,0.22
ECU,9,218,218,Ecuador,0,624,184,2113,624,3.1,3.4,0.35
SLV,9,222,222,El Salvador,0,142,10,2089,142,2.0,2.2,0.20
GNQ,9,226,226,Equatorial Guinea,0,13,4,44,13,1.5,0.87,0.18
ETH,9,231,231,Ethiopia,0,2719,2335,3167,2719,3.7,2.3,0.42
ERI,9,232,232,Eritrea,0,78,55,111,78,3.2,2.1,0.35
EST,9,233,233,Estonia,0,369,322,423,369,11.1,27.9,1.4
FJI,9,242,242,Fiji,0,42,7,247,42,5.1,4.6,0.59
FIN,9,246,246,Finland,0,1398,1313,1488,1398,9.8,25.2,1.2
FRA,9,250,250,France (metropolitan),0,16613,15682,17599,16613,10.9,25.3,1.3
GUF,9,254,254,French Guyana,0,11,11,11,11,3.7,3.5,0.44
PYF,9,258,258,French Polynesia,0,20,19,21,20,4.9,7.0,0.53
DJI,9,262,262,Djibouti,0,27,17,43,27,2.9,2.7,0.34
GAB,9,266,266,Gabon,0,26,5,126,26,1.7,1.1,0.19
GEO,9,268,268,Georgia,0,557,241,1286,557,7.2,14.0,0.91
GMB,9,270,270,The Republic of the Gambia,0,23,4,118,23,1.7,0.90,0.19
PSE,9,275,275,Gaza Strip and West Bank,0,188,107,330,188,6.0,3.5,0.70
DEU,9,276,276,Germany,0,21935,21020,22889,21935,9.9,26.2,1.2
GHA,9,288,288,Ghana,0,483,304,767,483,2.2,1.5,0.24
GRC,9,300,300,Greece,0,1100,855,1415,1100,3.9,10.7,0.47
GLP,9,312,312,"France, Guadeloupe",0,59,55,63,59,7.2,14.8,0.86
GUM,9,316,316,Guam,0,14,14,14,14,5.8,8.2,0.70
GTM,9,320,320,Guatemala,0,80,14,470,80,0.56,0.43,0.06
GIN,9,324,324,Guinea,0,89,13,612,89,1.2,0.64,0.14
GUY,9,328,328,Guyana,0,12,1,177,12,1.3,1.5,0.14
HTI,9,332,332,Haiti,0,169,11,2486,169,1.9,1.5,0.26
HND,9,340,340,Honduras,0,174,93,324,174,2.1,1.7,0.27
HUN,9,348,348,Hungary,0,3487,3155,3854,3487,17.2,36.3,2.1
ISL,9,352,352,Iceland,0,55,40,75,55,8.5,15.9,0.98
IND,9,356,356,India,0,30817,28937,32819,30817,2.2,2.2,0.25
IDN,9,360,360,Indonesia,0,16193,11713,22387,16193,5.5,5.8,0.63
IRN,9,364,364,"Iran, Islamic Republic of",0,3880,3431,4387,3880,4.1,4.5,0.48
IRQ,9,368,368,Iraq,0,830,635,1084,830,3.2,2.0,0.36
IRL,9,372,372,Ireland,0,1148,1038,1270,1148,12.1,22.9,1.4
ISR,9,376,376,Israel,0,825,736,924,825,7.1,9.3,0.81
ITA,9,380,380,Italy,0,14699,13779,15680,14699,8.7,24.4,1.0
CIV,9,384,384,"Côte d'Ivoire",0,283,177,453,283,1.9,1.0,0.21
JAM,9,388,388,Jamaica,0,177,73,432,177,4.7,5.9,0.56
JPN,9,392,392,Japan,0,48443,39261,59773,48443,13.6,38.6,1.7
KAZ,9,398,398,Kazakhstan,0,1577,1306,1904,1577,7.0,8.2,0.89
JOR,9,400,400,Jordan,0,340,227,510,340,4.3,3.3,0.49
KEN,9,404,404,Kenya,0,1044,812,1343,1044,3.6,1.9,0.40
PRK,9,408,408,"Korea, Democratic People Republic of",0,3814,3413,4262,3814,10.1,14.7,1.3
KOR,9,410,410,"Korea, Republic of",0,11538,11040,12058,11538,11.0,22.5,1.3
KWT,9,414,414,Kuwait,0,132,71,245,132,3.3,3.0,0.39
KGZ,9,417,417,Kyrgyzstan,0,219,81,592,219,3.9,3.3,0.46
LAO,9,418,418,"Lao People's Democratic Republic",0,335,320,350,335,6.0,4.5,0.69
LBN,9,422,422,Lebanon,0,264,167,417,264,3.4,4.0,0.40
LSO,9,426,426,Lesotho,0,35,2,515,35,2.1,1.6,0.23
LVA,9,428,428,Latvia,0,484,417,562,484,10.5,26.2,1.4
LBR,9,430,430,Liberia,0,43,3,633,43,1.4,0.81,0.15
LBY,9,434,434,Libya,0,326,200,533,326,5.3,4.6,0.53
LTU,9,440,440,Lithuania,0,566,503,637,566,8.4,21.3,1.1
LUX,9,442,442,Luxembourg,0,88,52,148,88,7.1,13.7,0.89
MDG,9,450,450,Madagascar,0,364,110,1203,364,2.3,1.3,0.26
MWI,9,454,454,Malawi,0,226,108,475,226,2.1,1.1,0.22
MYS,9,458,458,Malaysia,0,3045,1833,5058,3045,8.4,9.2,0.96
MDV,9,462,462,Maldives,0,24,19,30,24,5.6,4.4,0.65
MLI,9,466,466,Mali,0,432,298,626,432,4.1,2.0,0.44
MLT,9,470,470,Malta,0,90,71,114,90,8.5,20.3,0.96
MTQ,9,474,474,"France, Martinique",0,57,53,61,57,6.0,15.2,0.71
MRT,9,478,478,Mauritania,0,64,4,942,64,2.2,1.3,0.24
MUS,9,480,480,Mauritius,0,107,54,213,107,5.0,8.4,0.61
MEX,9,484,484,Mexico,0,3703,1947,7044,3703,2.5,2.8,0.30
MNG,9,496,496,Mongolia,0,49,17,145,49,1.7,1.5,0.21
MDA,9,498,498,Republic of Moldova,0,741,614,894,741,11.0,18.5,1.5
MNE,9,499,499,Montenegro,0,88,63,123,88,7.8,14.0,0.93
MAR,9,504,504,Morocco,0,2157,1796,2590,2157,5.0,5.7,0.58
MOZ,9,508,508,Mozambique,0,251,155,405,251,1.5,0.76,0.17
OMN,9,512,512,Oman,0,151,76,299,151,4.0,2.8,0.45
