Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,9,004,4,Afghanistan,0,187,-,-,187,0.82,0.47,0.08
ALB,9,008,8,Albania,0,37,-,-,37,0.92,1.5,0.10
DZA,9,012,12,Algeria,0,710,-,-,710,1.8,1.7,0.18
AGO,9,024,24,Angola,0,135,-,-,135,0.70,0.39,0.07
AZE,9,031,31,Azerbaijan,0,217,-,-,217,1.8,2.3,0.18
ARG,9,032,32,Argentina,0,396,-,-,396,0.85,0.97,0.09
AUS,9,036,36,Australia,0,423,-,-,423,1.3,2.0,0.13
AUT,9,040,40,Austria,0,162,-,-,162,1.2,2.2,0.12
BHS,9,044,44,Bahamas,0,6,-,-,6,1.2,1.6,0.13
BHR,9,048,48,Bahrain,0,12,-,-,12,0.75,0.69,0.08
BGD,9,050,50,Bangladesh,0,992,-,-,992,0.61,0.62,0.06
ARM,9,051,51,Armenia,0,37,-,-,37,0.92,1.4,0.10
BRB,9,052,52,Barbados,0,7,-,-,7,1.7,3.0,0.18
BEL,9,056,56,Belgium,0,160,-,-,160,0.99,1.7,0.10
BTN,9,064,64,Bhutan,0,8,-,-,8,1.2,1.1,0.12
BOL,9,068,68,Bolivia (Plurinational State of),0,16,-,-,16,0.16,0.14,0.02
BIH,9,070,70,Bosnia Herzegovina,0,148,-,-,148,2.9,5.6,0.30
BWA,9,072,72,Botswana,0,8,-,-,8,0.37,0.34,0.03
BRA,9,076,76,Brazil,0,3857,-,-,3857,1.6,2.0,0.16
BLZ,9,084,84,Belize,0,0,-,-,0,0.00,0.00,0.00
SLB,9,090,90,Solomon Islands,0,0,-,-,0,0.00,0.00,0.00
BRN,9,096,96,Brunei Darussalam,0,22,-,-,22,4.3,5.3,0.43
BGR,9,100,100,Bulgaria,0,220,-,-,220,2.3,4.1,0.23
MMR,9,104,104,Myanmar,0,624,-,-,624,1.1,1.2,0.11
BDI,9,108,108,Burundi,0,63,-,-,63,1.1,0.51,0.11
BLR,9,112,112,Belarus,0,399,-,-,399,2.8,5.1,0.30
KHM,9,116,116,Cambodia,0,179,-,-,179,1.3,1.1,0.14
CMR,9,120,120,Cameroon,0,145,-,-,145,0.97,0.53,0.10
CAN,9,124,124,Canada,0,909,-,-,909,1.8,2.9,0.18
CPV,9,132,132,Cape Verde,0,1,-,-,1,0.21,0.19,0.02
CAF,9,140,140,Central African Republic,0,34,-,-,34,1.2,0.70,0.12
LKA,9,144,144,Sri Lanka,0,286,-,-,286,1.1,1.5,0.11
TCD,9,148,148,Chad,0,65,-,-,65,0.77,0.38,0.07
CHL,9,152,152,Chile,0,271,-,-,271,1.2,1.6,0.12
CHN,9,156,160,China,0,33275,-,-,33275,1.7,2.8,0.18
COL,9,170,170,Colombia,0,546,-,-,546,0.98,1.2,0.10
COM,9,174,174,Comoros,0,0,-,-,0,0.00,0.00,0.00
COG,9,178,178,"Congo, Republic of",0,39,-,-,39,1.0,0.69,0.10
COD,9,180,180,"Congo, Democratic Republic of",0,529,-,-,529,1.0,0.57,0.10
CRI,9,188,188,Costa Rica,0,68,-,-,68,1.1,1.5,0.11
HRV,9,191,191,Croatia,0,156,-,-,156,2.6,4.9,0.27
CUB,9,192,192,Cuba,0,109,-,-,109,0.65,1.2,0.07
CYP,9,196,196,Cyprus,0,16,-,-,16,1.0,1.5,0.11
CZE,9,203,203,Czechia,0,270,-,-,270,1.9,3.2,0.20
BEN,9,204,204,Benin,0,49,-,-,49,0.72,0.40,0.08
DNK,9,208,208,Denmark,0,75,-,-,75,0.94,1.6,0.10
DOM,9,214,214,Dominican Republic,0,35,-,-,35,0.33,0.34,0.03
ECU,9,218,218,Ecuador,0,116,-,-,116,0.69,0.70,0.07
SLV,9,222,222,El Salvador,0,30,-,-,30,0.51,0.50,0.05
GNQ,9,226,226,Equatorial Guinea,0,10,-,-,10,1.1,0.68,0.11
ETH,9,231,231,Ethiopia,0,1495,-,-,1495,2.0,1.3,0.19
ERI,9,232,232,Eritrea,0,32,-,-,32,1.5,0.91,0.14
EST,9,233,233,Estonia,0,28,-,-,28,1.5,2.7,0.16
FJI,9,242,242,Fiji,0,12,-,-,12,1.4,1.4,0.14
FIN,9,246,246,Finland,0,89,-,-,89,1.2,2.1,0.13
FRA,9,250,250,France (metropolitan),0,960,-,-,960,1.1,1.9,0.11
GUF,9,254,254,French Guyana,0,2,-,-,2,0.67,0.68,0.08
PYF,9,258,258,French Polynesia,0,0,-,-,0,0.00,0.00,0.00
DJI,9,262,262,Djibouti,0,14,-,-,14,1.5,1.5,0.14
GAB,9,266,266,Gabon,0,12,-,-,12,0.76,0.53,0.08
GEO,9,268,268,Georgia,0,89,-,-,89,1.6,2.7,0.17
GMB,9,270,270,The Republic of the Gambia,0,14,-,-,14,0.91,0.56,0.09
PSE,9,275,275,Gaza Strip and West Bank,0,60,-,-,60,1.9,1.2,0.19
DEU,9,276,276,Germany,0,1832,-,-,1832,1.4,2.8,0.15
GHA,9,288,288,Ghana,0,222,-,-,222,0.93,0.71,0.09
GRC,9,300,300,Greece,0,67,-,-,67,0.44,0.84,0.05
GLP,9,312,312,"France, Guadeloupe",0,5,-,-,5,0.88,1.6,0.09
GUM,9,316,316,Guam,0,4,-,-,4,2.1,2.6,0.21
