Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
AFG,9,004,4,Afghanistan,0,285,255,319,285,1.4,0.70,0.16
ALB,9,008,8,Albania,0,133,96,184,133,2.2,4.6,0.26
DZA,9,012,12,Algeria,0,1665,1504,1843,1665,3.6,3.7,0.38
AGO,9,024,24,Angola,0,201,200,202,201,1.2,0.57,0.17
AZE,9,031,31,Azerbaijan,0,369,228,597,369,3.0,3.6,0.35
ARG,9,032,32,Argentina,0,1153,916,1451,1153,1.7,2.5,0.19
AUS,9,036,36,Australia,0,1826,1602,2081,1826,3.1,7.0,0.32
AUT,9,040,40,Austria,0,777,698,865,777,3.0,8.6,0.34
BHS,9,044,44,Bahamas,0,15,2,141,15,3.0,3.8,0.39
BHR,9,048,48,Bahrain,0,23,4,136,23,2.3,1.3,0.24
BGD,9,050,50,Bangladesh,0,1526,1476,1578,1526,0.94,0.91,0.10
ARM,9,051,51,Armenia,0,144,82,251,144,2.7,4.9,0.33
BRB,9,052,52,Barbados,0,24,8,69,24,3.6,8.3,0.44
BEL,9,056,56,Belgium,0,881,774,1002,881,2.7,7.6,0.28
BTN,9,064,64,Bhutan,0,14,13,15,14,1.9,1.8,0.23
BOL,9,068,68,Bolivia (Plurinational State of),0,52,15,185,52,0.44,0.43,0.07
BIH,9,070,70,Bosnia Herzegovina,0,517,470,568,517,6.7,15.9,0.80
BWA,9,072,72,Botswana,0,16,6,40,16,0.81,0.66,0.10
BRA,9,076,76,Brazil,0,9947,9188,10769,9947,3.2,4.6,0.36
BLZ,9,084,84,Belize,0,0,0,0,0,0.00,0.00,0.00
SLB,9,090,90,Solomon Islands,0,5,4,7,5,1.4,0.69,0.24
BRN,9,096,96,Brunei Darussalam,0,41,12,142,41,9.0,9.2,0.94
BGR,9,100,100,Bulgaria,0,795,700,904,795,4.6,11.6,0.53
MMR,9,104,104,Myanmar,0,1645,1469,1842,1645,3.1,3.0,0.32
BDI,9,108,108,Burundi,0,117,45,305,117,2.3,0.93,0.26
BLR,9,112,112,Belarus,0,1276,1193,1365,1276,6.4,13.5,0.82
KHM,9,116,116,Cambodia,0,457,445,469,457,3.5,2.7,0.36
CMR,9,120,120,Cameroon,0,232,52,1042,232,1.7,0.83,0.19
CAN,9,124,124,Canada,0,3762,3575,3958,3762,3.8,9.8,0.34
CPV,9,132,132,Cape Verde,0,4,0,43,4,0.81,0.70,0.09
CAF,9,140,140,Central African Republic,0,53,21,135,53,2.1,1.1,0.24
LKA,9,144,144,Sri Lanka,0,630,556,714,630,2.0,2.9,0.23
TCD,9,148,148,Chad,0,82,50,135,82,0.97,0.47,0.09
CHL,9,152,152,Chile,0,942,720,1233,942,2.7,4.9,0.30
CHN,9,156,160,China,0,120491,110829,130995,120491,4.3,8.5,0.46
COL,9,170,170,Colombia,0,1397,1158,1685,1397,2.0,2.7,0.23
COM,9,174,174,Comoros,0,5,3,9,5,1.2,0.55,0.16
COG,9,178,178,"Congo, Republic of",0,48,23,100,48,1.3,0.83,0.16
COD,9,180,180,"Congo, Democratic Republic of",0,943,350,2541,943,2.0,0.99,0.22
CRI,9,188,188,Costa Rica,0,179,109,294,179,2.2,3.5,0.24
HRV,9,191,191,Croatia,0,750,680,827,750,6.5,18.5,0.74
CUB,9,192,192,Cuba,0,370,257,533,370,1.5,3.3,0.16
CYP,9,196,196,Cyprus,0,62,42,91,62,2.4,5.1,0.26
CZE,9,203,203,Czechia,0,1264,1159,1379,1264,4.6,11.8,0.54
BEN,9,204,204,Benin,0,115,49,269,115,1.8,0.90,0.18
DNK,9,208,208,Denmark,0,442,369,529,442,2.7,7.6,0.29
DOM,9,214,214,Dominican Republic,0,84,38,186,84,0.68,0.76,0.08
ECU,9,218,218,Ecuador,0,286,181,452,286,1.4,1.6,0.15
SLV,9,222,222,El Salvador,0,58,20,165,58,0.77,0.89,0.08
GNQ,9,226,226,Equatorial Guinea,0,11,4,31,11,1.2,0.73,0.16
ETH,9,231,231,Ethiopia,0,2026,1773,2316,2026,2.7,1.7,0.31
ERI,9,232,232,Eritrea,0,56,43,73,56,2.4,1.5,0.26
EST,9,233,233,Estonia,0,186,151,229,186,4.7,14.1,0.54
FJI,9,242,242,Fiji,0,29,10,84,29,3.7,3.2,0.42
FIN,9,246,246,Finland,0,535,469,611,535,3.2,9.6,0.36
FRA,9,250,250,France (metropolitan),0,5624,5354,5907,5624,2.9,8.6,0.31
GUF,9,254,254,French Guyana,0,6,6,6,6,1.9,1.9,0.08
PYF,9,258,258,French Polynesia,0,10,10,10,10,2.3,3.5,0.26
DJI,9,262,262,Djibouti,0,21,15,30,21,2.3,2.1,0.29
GAB,9,266,266,Gabon,0,15,5,44,15,0.98,0.64,0.14
GEO,9,268,268,Georgia,0,318,213,476,318,3.9,8.0,0.44
GMB,9,270,270,The Republic of the Gambia,0,21,4,124,21,1.5,0.82,0.16
PSE,9,275,275,Gaza Strip and West Bank,0,106,77,145,106,3.5,2.0,0.38
DEU,9,276,276,Germany,0,8853,8562,9154,8853,3.4,10.6,0.39
GHA,9,288,288,Ghana,0,323,226,462,323,1.6,1.0,0.17
GRC,9,300,300,Greece,0,456,372,559,456,1.3,4.4,0.14
GLP,9,312,312,"France, Guadeloupe",0,22,21,23,22,2.0,5.5,0.20
GUM,9,316,316,Guam,0,7,7,7,7,3.1,4.1,0.36
GTM,9,320,320,Guatemala,0,49,21,117,49,0.35,0.26,0.04
GIN,9,324,324,Guinea,0,67,14,320,67,0.93,0.48,0.10
GUY,9,328,328,Guyana,0,8,1,75,8,0.85,1.0,0.07
HTI,9,332,332,Haiti,0,74,4,1247,74,0.84,0.63,0.14
HND,9,340,340,Honduras,0,82,28,240,82,0.91,0.80,0.10
HUN,9,348,348,Hungary,0,1711,1584,1848,1711,7.4,17.8,0.88
ISL,9,352,352,Iceland,0,9,5,18,9,0.95,2.6,0.09
IND,9,356,356,India,0,17738,17006,18501,17738,1.2,1.3,0.14
IDN,9,360,360,Indonesia,0,8669,7258,10354,8669,3.0,3.1,0.33
IRN,9,364,364,"Iran, Islamic Republic of",0,1766,1448,2154,1766,1.9,2.1,0.20
IRQ,9,368,368,Iraq,0,511,419,624,511,2.0,1.2,0.22
IRL,9,372,372,Ireland,0,774,655,915,774,7.2,15.4,0.75
ISR,9,376,376,Israel,0,281,182,435,281,1.8,3.2,0.17
ITA,9,380,380,Italy,0,5312,5052,5585,5312,2.5,8.8,0.26
CIV,9,384,384,"Côte d'Ivoire",0,203,138,300,203,1.4,0.73,0.15
JAM,9,388,388,Jamaica,0,109,68,174,109,2.8,3.7,0.32
JPN,9,392,392,Japan,0,17336,16328,18406,17336,3.8,13.8,0.44
KAZ,9,398,398,Kazakhstan,0,834,691,1007,834,3.7,4.3,0.46
JOR,9,400,400,Jordan,0,178,137,231,178,2.3,1.7,0.25
KEN,9,404,404,Kenya,0,724,591,887,724,2.7,1.3,0.28
PRK,9,408,408,"Korea, Democratic People Republic of",0,2117,1987,2256,2117,5.5,8.2,0.66
KOR,9,410,410,"Korea, Republic of",0,4474,3936,5086,4474,3.4,8.7,0.33
KWT,9,414,414,Kuwait,0,61,42,88,61,1.6,1.4,0.18
KGZ,9,417,417,Kyrgyzstan,0,147,89,244,147,2.7,2.2,0.31
LAO,9,418,418,"Lao People's Democratic Republic",0,198,193,203,198,3.7,2.7,0.41
LBN,9,422,422,Lebanon,0,143,106,193,143,1.8,2.1,0.20
LSO,9,426,426,Lesotho,0,25,2,368,25,1.4,1.2,0.14
LVA,9,428,428,Latvia,0,297,238,370,297,5.5,16.1,0.67
LBR,9,430,430,Liberia,0,33,4,266,33,1.0,0.62,0.09
LBY,9,434,434,Libya,0,213,153,296,213,3.7,3.0,0.27
LTU,9,440,440,Lithuania,0,378,332,430,378,4.9,14.2,0.58
LUX,9,442,442,Luxembourg,0,33,22,50,33,2.2,5.1,0.24
MDG,9,450,450,Madagascar,0,261,105,651,261,1.7,0.89,0.18
MWI,9,454,454,Malawi,0,168,93,305,168,1.6,0.83,0.16
MYS,9,458,458,Malaysia,0,1558,1176,2064,1558,4.2,4.7,0.43
MDV,9,462,462,Maldives,0,9,8,10,9,2.1,1.7,0.18
MLI,9,466,466,Mali,0,336,238,475,336,3.1,1.6,0.34
MLT,9,470,470,Malta,0,44,31,63,44,3.1,9.9,0.32
MTQ,9,474,474,"France, Martinique",0,21,20,22,21,1.8,5.6,0.21
MRT,9,478,478,Mauritania,0,46,3,677,46,1.6,0.94,0.16
MUS,9,480,480,Mauritius,0,48,16,142,48,2.1,3.8,0.24
MEX,9,484,484,Mexico,0,1489,1229,1804,1489,1.0,1.1,0.12
MNG,9,496,496,Mongolia,0,30,11,85,30,1.1,0.89,0.04
MDA,9,498,498,Republic of Moldova,0,470,408,541,470,6.8,11.7,0.89
MNE,9,499,499,Montenegro,0,48,36,63,48,3.8,7.6,0.43
MAR,9,504,504,Morocco,0,1111,993,1242,1111,2.6,2.9,0.27
MOZ,9,508,508,Mozambique,0,191,125,291,191,1.2,0.58,0.13
OMN,9,512,512,Oman,0,82,50,135,82,2.3,1.5,0.24
NAM,9,516,516,Namibia,0,34,15,79,34,2.1,1.3,0.25
NPL,9,524,524,Nepal,0,283,273,294,283,1.0,0.94,0.10
NLD,9,528,528,The Netherlands,0,1722,1606,1846,1722,3.6,10.0,0.39
NCL,9,540,540,New Caledonia,0,13,13,13,13,3.2,4.5,0.45
VUT,9,548,548,Vanuatu,0,7,3,16,7,3.7,2.2,0.57
NZL,9,554,554,New Zealand,0,508,367,704,508,4.5,10.4,0.47
NIC,9,558,558,Nicaragua,0,82,39,171,82,1.3,1.2,0.15
NER,9,562,562,Niger,0,208,123,351,208,1.5,0.80,0.15
NGA,9,566,566,Nigeria,0,2262,1939,2639,2262,2.1,1.0,0.26
NOR,9,578,578,Norway,0,506,433,592,506,3.6,9.2,0.37
PAK,9,586,586,Pakistan,0,1856,1707,2019,1856,1.1,0.81,0.11
PAN,9,591,591,Panama,0,80,38,169,80,1.4,1.8,0.16
PNG,9,598,598,Papua New Guinea,0,158,83,301,158,3.1,1.7,0.27
PRY,9,600,600,Paraguay,0,105,55,200,105,1.5,1.4,0.17
PER,9,604,604,Peru,0,434,291,647,434,0.98,1.3,0.10
PHL,9,608,608,Philippines,0,3570,3348,3806,3570,3.6,3.2,0.41
POL,9,616,616,Poland,0,5469,5254,5692,5469,5.8,14.5,0.67
PRT,9,620,620,Portugal,0,1471,1357,1594,1471,4.5,14.5,0.48
GNB,9,624,624,Guinea-Bissau,0,13,1,116,13,1.3,0.63,0.18
TLS,9,626,626,Timor-Leste,0,19,18,21,19,2.1,1.4,0.17
PRI,9,630,630,Puerto Rico,0,216,112,416,216,2.8,7.6,0.31
QAT,9,634,634,Qatar,0,23,12,43,23,1.7,0.77,0.13
REU,9,638,638,"France, La Réunion",0,36,35,37,36,2.0,4.0,0.22
ROU,9,642,642,Romania,0,2671,2517,2835,2671,5.8,14.0,0.68
RUS,9,643,643,Russian Federation,0,16180,15710,16664,16180,5.4,11.1,0.68
RWA,9,646,646,Rwanda,0,126,74,215,126,1.6,0.93,0.18
LCA,9,662,662,Saint Lucia,0,4,0,38,4,1.3,2.2,0.10
STP,9,678,678,Sao Tome and Principe,0,1,0,2,1,0.88,0.44,0.11
SAU,9,682,682,Saudi Arabia,0,808,715,914,808,2.6,2.3,0.29
SEN,9,686,686,Senegal,0,181,12,2663,181,1.8,1.0,0.20
SRB,9,688,688,Serbia,0,1375,1267,1492,1375,6.9,15.9,0.79
SLE,9,694,694,Sierra Leone,0,4,3,5,4,0.11,0.05,0.01
SGP,9,702,702,Singapore,0,658,239,1812,658,5.4,11.1,0.59
SVK,9,703,703,Slovakia,0,842,739,959,842,6.7,15.4,0.78
VNM,9,704,704,Viet Nam,0,4448,4251,4654,4448,3.6,4.5,0.43
SVN,9,705,705,Slovenia,0,279,229,341,279,4.5,13.4,0.51
SOM,9,706,706,Somalia,0,243,194,305,243,3.0,1.4,0.34
ZAF,9,710,710,South Africa,0,1132,1111,1153,1132,2.2,1.9,0.22
ZWE,9,716,716,Zimbabwe,0,182,127,262,182,2.4,1.2,0.27
ESP,9,724,724,Spain,0,4314,4115,4522,4314,3.1,9.2,0.34
SSD,9,728,728,South Sudan,0,121,48,304,121,1.9,1.0,0.22
SDN,9,729,729,Sudan,0,516,426,624,516,1.8,1.1,0.16
SUR,9,740,740,Suriname,0,9,1,91,9,1.4,1.5,0.20
SWZ,9,748,748,Eswatini,0,10,1,129,10,1.3,0.84,0.14
SWE,9,752,752,Sweden,0,953,867,1048,953,3.3,9.3,0.35
CHE,9,756,756,Switzerland,0,614,533,707,614,2.5,7.0,0.28
SYR,9,760,760,Syrian Arab Republic,0,318,198,511,318,2.1,1.6,0.16
TJK,9,762,762,Tajikistan,0,104,12,932,104,1.6,1.0,0.16
THA,9,764,764,Thailand,0,4642,4421,4875,4642,3.4,6.6,0.38
TGO,9,768,768,Togo,0,68,31,149,68,1.5,0.78,0.14
TTO,9,780,780,Trinidad and Tobago,0,60,25,144,60,2.6,4.3,0.32
ARE,9,784,784,United Arab Emirates,0,84,61,116,84,2.1,0.83,0.20
TUN,9,788,788,Tunisia,0,364,308,430,364,2.3,3.0,0.22
TUR,9,792,792,Türkiye,0,3330,3122,3552,3330,2.9,3.9,0.31
TKM,9,795,795,Turkmenistan,0,108,81,144,108,2.0,1.7,0.23
UGA,9,800,800,Uganda,0,411,281,600,411,2.2,0.85,0.27
UKR,9,804,804,Ukraine,0,5239,4947,5548,5239,5.8,12.1,0.75
MKD,9,807,807,North Macedonia,0,226,168,305,226,5.6,10.9,0.67
EGY,9,818,818,Egypt,0,944,822,1085,944,1.0,0.89,0.10
GBR,9,826,826,United Kingdom,0,9996,9657,10347,9996,5.5,14.6,0.57
TZA,9,834,834,"Tanzania, United Republic of",0,532,314,901,532,1.9,0.84,0.19
USA,9,840,840,United States of America,0,15045,14622,15481,15045,2.3,4.5,0.25
BFA,9,854,854,Burkina Faso,0,65,65,65,65,0.48,0.29,0.03
URY,9,858,858,Uruguay,0,237,146,385,237,3.2,6.8,0.36
UZB,9,860,860,Uzbekistan,0,742,564,976,742,2.4,2.2,0.30
VEN,9,862,862,Venezuela,0,704,458,1082,704,2.0,2.4,0.23
WSM,9,882,882,Samoa,0,9,9,9,9,5.4,4.5,0.64
YEM,9,887,887,Yemen,0,389,316,479,389,2.3,1.3,0.26
ZMB,9,894,894,Zambia,0,158,106,236,158,1.9,0.81,0.22
,,,,Total,,343715,,,343715,3.1,4.4,0.34
