"ISOcode","AgeStart","AgeEnd","Ri","Di","Ni","Mi"
4,0,4,0,0,6587946.5,83784
4,5,9,0,0,5895752.5,6860
4,10,14,6,0,5200496,4752
4,15,19,13,7,4631923.5,7188
4,20,24,18,11,4072960,9150
4,25,29,19,11,3348016,8122
4,30,34,21,12,2576735,7023
4,35,39,21,12,1976412,6639
4,40,44,30,14,1613110,7211
4,45,49,41,22,1324159.5,8426
4,50,54,51,29,1038712.5,9715
4,55,59,59,34,781336,10933
4,60,64,63,35,575593,12390
4,65,69,60,33,410757.5,13887
4,70,74,50,30,274530,14985
4,75,79,34,21,166809.5,14619
4,80,84,16,10,74652.5,10604
4,85,999,7,4,28940,6908
8,0,4,0,0,148287,293
8,5,9,0,0,172627.5,35
8,10,14,0,0,166069.5,42
8,15,19,0,0,176824,71
8,20,24,1,0,208455.5,90
8,25,29,2,0,238788.5,118
8,30,34,4,0,226264.5,153
8,35,39,6,0,184629.5,205
8,40,44,9,0,156123,248
8,45,49,13,3,157854.5,394
8,50,54,19,6,175771,653
8,55,59,30,11,183880,1014
8,60,64,38,17,185940.5,1560
8,65,69,35,22,152983.5,2023
8,70,74,32,22,114180,2845
8,75,79,24,20,79696.5,3560
8,80,84,19,18,58955.5,4619
8,85,999,13,14,40277.5,6704
12,0,4,0,0,4862517,20524
12,5,9,0,0,4941797.5,1378
12,10,14,1,0,4221454.5,1232
12,15,19,5,1,3281901,1492
12,20,24,12,28,2846322,1590
12,25,29,39,12,3286152.5,2110
12,30,34,52,9,3617857,2656
12,35,39,98,27,3714473.5,3680
12,40,44,165,56,3368926.5,4688
12,45,49,222,90,2766843.5,5789
12,50,54,303,132,2355453,7470
12,55,59,407,165,1923705,10419
12,60,64,444,190,1476317,14693
12,65,69,434,211,1146838.5,20982
12,70,74,338,205,786213.5,25730
12,75,79,236,186,439422,25884
12,80,84,174,174,276146.5,27946
12,85,999,144,179,165049,31013
24,0,4,0,0,6087495.5,89117
24,5,9,0,0,5326462.5,7059
24,10,14,0,0,4535524.5,4519
24,15,19,6,0,3693554.5,5792
24,20,24,11,6,2992351.5,6650
24,25,29,11,6,2575397.5,6746
24,30,34,30,25,2266054,7240
24,35,39,51,23,1912316.5,7906
24,40,44,24,4,1545472,8487
24,45,49,12,6,1241958,9266
24,50,54,20,14,1017352,10796
24,55,59,25,21,822040,12352
24,60,64,51,30,630770.5,14318
24,65,69,85,58,433740,14980
24,70,74,6,6,270670,14773
24,75,79,0,2,165925,14112
24,80,84,0,0,80781.5,10628
24,85,999,0,0,37163.5,8159
31,0,4,0,0,688108,2394
31,5,9,0,0,822180,283
31,10,14,0,1,836794.5,244
31,15,19,0,0,703787,405
31,20,24,2,2,654105,648
31,25,29,3,0,843679,769
31,30,34,5,1,967531.5,938
31,35,39,17,9,866568,1188
31,40,44,29,13,729543,1497
31,45,49,44,25,609274.5,2205
31,50,54,67,39,619689,3716
31,55,59,103,58,618078,5963
31,60,64,122,69,561089,8553
31,65,69,99,58,355458,8504
31,70,74,57,37,209302,7982
31,75,79,28,21,81966,4865
31,80,84,22,20,79834.5,7778
31,85,999,16,16,48317,7940
32,0,4,0,0,2947672,5439
32,5,9,0,0,3710859,737
32,10,14,0,0,3672106,948
32,15,19,3,1,3489288,2179
32,20,24,7,1,3476402,3158
32,25,29,35,5,3517290,3674
32,30,34,33,13,3399523,4101
32,35,39,55,21,3214392,4789
32,40,44,106,26,3153271,6917
32,45,49,163,42,2830371.5,8792
32,50,54,227,65,2396847,12448
32,55,59,309,97,2153956.5,17783
32,60,64,382,125,1981502.5,26875
32,65,69,425,146,1731398,37583
32,70,74,419,158,1415320.5,48188
32,75,79,348,153,1047637,55207
32,80,84,247,135,676678.5,58710
32,85,999,238,165,593389.5,101946
36,0,4,0,0,1523962,1370
36,5,9,0,0,1613876.5,106
36,10,14,0,0,1640053,8
36,15,19,2,0,1537176.5,8
36,20,24,6,0,1637502.5,8
36,25,29,24,6,1858854.5,9
36,30,34,57,15,1941399,10
36,35,39,115,16,1908182.5,10
36,40,44,184,23,1720349,28
36,45,49,276,42,1637765.5,1152
36,50,54,389,69,1660551,3236
36,55,59,512,104,1547392,9317
36,60,64,626,148,1500094,19781
36,65,69,670,187,1315491.5,12241
36,70,74,695,244,1155308,19576
36,75,79,592,289,877684.5,22542
36,80,84,418,282,567841,29628
36,85,999,442,401,557501.5,85705
40,0,4,0,0,432137.5,317
40,5,9,0,0,441266.5,36
40,10,14,0,0,427028.5,33
40,15,19,0,0,439894,135
40,20,24,0,0,488185.5,198
40,25,29,2,0,588769,249
40,30,34,7,1,630688,384
40,35,39,15,3,620081,476
40,40,44,32,7,596560,628
40,45,49,57,13,589350,1049
40,50,54,108,28,682142.5,1860
40,55,59,165,47,712128,3155
40,60,64,194,63,622569.5,4597
40,65,69,195,77,493921.5,6276
40,70,74,198,107,418525.5,9109
40,75,79,174,123,332743,10823
40,80,84,167,157,309708,15891
40,85,999,118,151,238979,41378
44,0,4,0,0,21884.5,56
44,5,9,0,0,24843.5,5
44,10,14,0,0,27815.5,5
44,15,19,0,0,27943.5,26
44,20,24,0,0,29338.5,50
44,25,29,0,0,33365.5,62
44,30,34,0,0,32163.5,79
