Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
N.A.,9,905,905,Northern America,0,37152,-,-,37152,7.5,11.3,0.81
N.A.,9,906,906,Eastern Asia,0,173746,-,-,173746,7.1,12.0,0.84
N.A.,9,910,910,Eastern Africa,0,5929,-,-,5929,2.3,1.3,0.26
N.A.,9,911,911,Middle Africa,0,1831,-,-,1831,1.9,0.98,0.21
N.A.,9,912,912,Northern Africa,0,6706,-,-,6706,3.1,2.7,0.34
N.A.,9,913,913,Southern Africa,0,2422,-,-,2422,4.0,3.6,0.45
N.A.,9,914,914,Western Africa,0,4453,-,-,4453,1.9,1.1,0.21
N.A.,9,915,915,Caribbean,0,1382,-,-,1382,2.8,3.4,0.32
N.A.,9,916,916,Central America,0,3337,-,-,3337,1.9,1.9,0.22
N.A.,9,920,920,South-Eastern Asia,0,34588,-,-,34588,4.7,5.3,0.55
N.A.,9,921,921,South Central Asia,0,34867,-,-,34867,1.8,1.8,0.20
N.A.,9,922,922,Western Asia,0,10570,-,-,10570,4.1,3.8,0.48
N.A.,9,923,923,Eastern Europe,0,39225,-,-,39225,8.5,15.2,1.0
N.A.,9,924,924,Northern Europe,0,11620,-,-,11620,7.5,12.6,0.91
N.A.,9,925,925,Southern Europe,0,17697,-,-,17697,7.2,13.9,0.86
N.A.,9,926,926,Western Europe,0,22454,-,-,22454,7.2,13.5,0.87
N.A.,9,927,927,Australia-New Zealand,0,3501,-,-,3501,8.6,12.8,0.98
N.A.,9,928,928,Melanesia,0,258,-,-,258,3.2,2.3,0.38
N.A.,9,931,931,South America,0,21352,-,-,21352,4.4,5.2,0.51
N.A.,9,954,954,Micronesia,0,27,-,-,27,4.8,5.0,0.56
N.A.,9,957,957,Polynesia,0,30,-,-,30,4.1,4.5,0.51
,,,,Total,,433147,,,433147,5.0,5.9,0.60
