Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
N.A.,9,905,905,Northern America,0,53284,52771,53802,53284,8.6,14.3,0.99
N.A.,9,906,906,Eastern Asia,0,305951,302789,309146,305951,9.9,18.9,1.2
N.A.,9,910,910,Eastern Africa,0,7574,6571,8730,7574,3.0,1.6,0.35
N.A.,9,911,911,Middle Africa,0,2274,1895,2729,2274,2.4,1.2,0.27
N.A.,9,912,912,Northern Africa,0,9025,8044,10126,9025,3.9,3.5,0.44
N.A.,9,913,913,Southern Africa,0,3364,3082,3672,3364,5.5,4.9,0.63
N.A.,9,914,914,Western Africa,0,5435,4844,6098,5435,2.4,1.3,0.28
N.A.,9,915,915,Caribbean,0,2329,1780,3047,2329,3.8,5.3,0.46
N.A.,9,916,916,Central America,0,4783,4313,5305,4783,2.5,2.6,0.29
N.A.,9,920,920,South-Eastern Asia,0,49740,47334,52268,49740,6.5,7.3,0.77
N.A.,9,921,921,South Central Asia,0,46589,45091,48137,46589,2.3,2.3,0.27
N.A.,9,922,922,Western Asia,0,15077,13816,16453,15077,5.6,5.2,0.66
N.A.,9,923,923,Eastern Europe,0,67494,66313,68696,67494,11.6,23.1,1.5
N.A.,9,924,924,Northern Europe,0,26203,25695,26721,26203,10.9,24.5,1.3
N.A.,9,925,925,Southern Europe,0,38544,36775,40398,38544,10.2,25.4,1.3
N.A.,9,926,926,Western Europe,0,49460,47887,51085,49460,10.4,25.1,1.3
N.A.,9,927,927,Australia-New Zealand,0,6339,5950,6753,6339,11.3,20.5,1.3
N.A.,9,928,928,Melanesia,0,357,248,514,357,4.8,3.1,0.52
N.A.,9,931,931,South America,0,35924,34243,37688,35924,6.1,8.2,0.71
N.A.,9,954,954,Micronesia,0,37,9,158,37,6.1,6.6,0.72
N.A.,9,957,957,Polynesia,0,50,15,165,50,6.3,7.2,0.75
,,,,Total,,729833,,,729833,7.1,9.3,0.85
