Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,Number,ASR (World),Crude rate,Cumulative risk
N.A.,9,905,905,Northern America,0,18811,18490,19138,18811,2.5,5.0,0.26
N.A.,9,906,906,Eastern Asia,0,144448,142074,146862,144448,4.2,8.9,0.46
N.A.,9,910,910,Eastern Africa,0,5426,4483,6567,5426,2.2,1.2,0.24
N.A.,9,911,911,Middle Africa,0,1586,1262,1994,1586,1.7,0.83,0.19
N.A.,9,912,912,Northern Africa,0,4818,4055,5725,4818,2.1,1.9,0.21
N.A.,9,913,913,Southern Africa,0,1217,1056,1403,1217,2.1,1.8,0.22
N.A.,9,914,914,Western Africa,0,3949,3390,4600,3949,1.8,0.93,0.21
N.A.,9,915,915,Caribbean,0,1029,714,1484,1029,1.5,2.3,0.18
N.A.,9,916,916,Central America,0,2019,1772,2300,2019,1.0,1.1,0.12
N.A.,9,920,920,South-Eastern Asia,0,25905,24060,27891,25905,3.3,3.8,0.37
N.A.,9,921,921,South Central Asia,0,26042,24811,27334,26042,1.3,1.3,0.15
N.A.,9,922,922,Western Asia,0,7230,6295,8304,7230,2.6,2.5,0.28
N.A.,9,923,923,Eastern Europe,0,35917,35160,36691,35917,5.6,12.3,0.70
N.A.,9,924,924,Northern Europe,0,14117,13761,14483,14117,4.9,13.2,0.52
N.A.,9,925,925,Southern Europe,0,14921,14399,15462,14921,3.2,9.8,0.35
N.A.,9,926,926,Western Europe,0,18511,18013,19023,18511,3.2,9.4,0.35
N.A.,9,927,927,Australia-New Zealand,0,2334,2100,2594,2334,3.3,7.5,0.34
N.A.,9,928,928,Melanesia,0,212,132,341,212,3.0,1.8,0.30
N.A.,9,931,931,South America,0,15280,14396,16218,15280,2.5,3.5,0.28
N.A.,9,954,954,Micronesia,0,20,3,156,20,3.4,3.6,0.40
N.A.,9,957,957,Polynesia,0,25,4,158,25,3.1,3.6,0.34
,,,,Total,,343817,,,343817,3.1,4.4,0.34
