"Region","LRI_formatted_CC","LRI_formatted_RC","LRI_formatted_CRC","LRM_formatted_CC","LRM_formatted_RC","LRM_formatted_CRC","ISOcode"
"Afghanistan","0.54(0.47-0.62)","0.48(0.41-0.55)","1.09(0.99-1.20)","0.39(0.33-0.46)","0.28(0.22-0.33)","0.72(0.63-0.81)",4
"Albania","1.22(1.05-1.39)","0.97(0.83-1.11)","2.23(2.00-2.45)","0.78(0.64-0.92)","0.65(0.52-0.77)","1.44(1.25-1.63)",8
"Algeria","2.49(2.38-2.59)","1.56(1.48-1.64)","4.16(4.02-4.29)","1.96(1.85-2.06)","1.20(1.12-1.28)","3.23(3.10-3.36)",12
"Angola","0.38(0.31-0.45)","0.19(0.16-0.21)","0.59(0.51-0.67)","0.32(0.25-0.39)","0.12(0.10-0.14)","0.46(0.39-0.53)",24
"Azerbaijan","1.87(1.70-2.04)","0.92(0.81-1.03)","2.91(2.70-3.12)","1.09(0.95-1.23)","0.66(0.55-0.76)","1.85(1.67-2.03)",31
"Argentina","4.32(4.24-4.41)","0.95(0.92-0.99)","5.36(5.26-5.45)","2.95(2.88-3.03)","0.42(0.40-0.45)","3.41(3.33-3.49)",32
"Australia","5.89(5.76-6.01)","2.24(2.17-2.31)","8.38(8.23-8.52)","2.53(2.44-2.61)","1.06(1.00-1.11)","3.66(3.56-3.77)",36
"Austria","3.40(3.27-3.54)","1.53(1.45-1.62)","5.13(4.97-5.29)","1.92(1.82-2.03)","1.00(0.92-1.07)","2.98(2.85-3.12)",40
"Bahamas","2.97(2.05-3.90)","1.00(0.51-1.50)","4.10(3.04-5.15)","2.04(1.32-2.76)","0.47(0.22-0.73)","2.52(1.75-3.28)",44
"Bahrain","2.71(1.81-3.61)","0.81(0.48-1.14)","3.56(2.59-4.52)","1.29(0.65-1.94)","0.84(0.25-1.42)","2.15(1.28-3.02)",48
"Bangladesh","0.33(0.31-0.35)","0.36(0.34-0.38)","0.74(0.71-0.78)","0.23(0.21-0.25)","0.23(0.21-0.25)","0.49(0.46-0.52)",50
"Armenia","4.22(3.89-4.56)","1.18(1.01-1.35)","5.44(5.06-5.82)","2.07(1.82-2.31)","0.79(0.64-0.94)","2.87(2.58-3.16)",51
"Barbados","4.41(3.41-5.41)","1.80(1.17-2.42)","6.47(5.27-7.67)","3.66(2.73-4.59)","1.17(0.64-1.71)","4.83(3.76-5.91)",52
"Belgium","5.45(5.30-5.61)","1.96(1.87-2.05)","7.60(7.42-7.78)","2.63(2.52-2.75)","0.97(0.90-1.04)","3.67(3.54-3.81)",56
"Bhutan","0.44(0.15-0.73)","0.49(0.19-0.78)","0.93(0.51-1.34)","0.20(0.03-0.36)","0.40(0.13-0.68)","0.60(0.28-0.92)",64
"Bolivia","1.21(1.08-1.34)","0.28(0.21-0.34)","1.51(1.36-1.65)","0.91(0.80-1.03)","0.13(0.08-0.18)","1.04(0.92-1.17)",68
"Bosnia & Herzegovina","2.70(2.51-2.89)","2.30(2.13-2.47)","5.01(4.76-5.27)","1.78(1.62-1.95)","1.59(1.44-1.75)","3.39(3.16-3.62)",70
"Botswana","0.40(0.24-0.56)","0.24(0.14-0.35)","0.78(0.57-0.99)","0.29(0.14-0.43)","0.16(0.07-0.25)","0.54(0.35-0.74)",72
"Brazil","3.02(2.98-3.06)","1.96(1.93-1.99)","5.21(5.16-5.26)","1.85(1.81-1.88)","0.93(0.90-0.95)","2.85(2.80-2.89)",76
"Belize","1.88(0.77-3.00)","0.00(0.00-0.00)","1.88(0.77-3.00)","1.83(0.72-2.95)","0.00(0.00-0.00)","1.83(0.72-2.95)",84
"Solomon Islands","0.36(0.00-0.74)","0.47(0.10-0.85)","0.92(0.37-1.48)","0.31(0.00-0.67)","0.19(0.02-0.36)","0.59(0.16-1.02)",90
"Brunei","3.16(2.17-4.15)","3.12(2.17-4.08)","6.28(4.89-7.66)","2.71(1.59-3.82)","2.11(1.24-2.98)","4.81(3.40-6.23)",96
"Bulgaria","4.15(3.99-4.30)","2.11(2.01-2.22)","6.33(6.14-6.51)","2.73(2.60-2.87)","1.07(0.99-1.15)","3.83(3.68-3.99)",100
"Myanmar (Burma)","0.91(0.86-0.96)","0.99(0.93-1.04)","1.96(1.89-2.04)","0.64(0.60-0.69)","0.77(0.72-0.82)","1.45(1.38-1.52)",104
"Burundi","0.45(0.33-0.56)","0.51(0.38-0.64)","1.14(0.94-1.34)","0.40(0.28-0.51)","0.45(0.32-0.58)","1.02(0.82-1.21)",108
"Belarus","4.13(3.98-4.29)","2.63(2.51-2.74)","6.87(6.67-7.06)","2.12(2.01-2.24)","1.55(1.45-1.64)","3.73(3.58-3.88)",112
"Cambodia","1.28(1.16-1.40)","1.11(0.99-1.23)","2.46(2.28-2.64)","0.92(0.81-1.04)","0.89(0.77-1.01)","1.85(1.68-2.02)",116
"Cameroon","0.45(0.39-0.51)","0.38(0.32-0.44)","0.92(0.83-1.00)","0.33(0.28-0.39)","0.31(0.25-0.36)","0.69(0.61-0.78)",120
"Canada","5.11(5.02-5.20)","2.05(1.99-2.10)","7.39(7.28-7.50)","3.48(3.39-3.57)","1.52(1.46-1.57)","5.08(4.97-5.18)",124
"Cape Verde","0.56(0.18-0.94)","0.26(0.05-0.48)","0.87(0.43-1.32)","0.90(0.24-1.57)","0.33(0.00-0.72)","1.23(0.46-2.00)",132
"Central African Republic","0.23(0.15-0.30)","0.19(0.13-0.25)","0.45(0.36-0.55)","0.20(0.13-0.27)","0.16(0.10-0.22)","0.40(0.30-0.49)",140
"Sri Lanka","0.78(0.72-0.84)","0.84(0.78-0.90)","1.72(1.64-1.81)","0.47(0.42-0.52)","0.43(0.38-0.47)","0.94(0.87-1.01)",144
"Chad","0.08(0.06-0.10)","0.14(0.10-0.18)","0.27(0.22-0.32)","0.06(0.04-0.08)","0.11(0.08-0.15)","0.22(0.17-0.26)",148
"Chile","4.06(3.93-4.20)","1.51(1.44-1.59)","5.65(5.49-5.80)","2.32(2.21-2.43)","0.84(0.78-0.90)","3.20(3.07-3.32)",152
"China","2.63(2.62-2.65)","2.24(2.22-2.25)","4.91(4.90-4.93)","1.52(1.51-1.53)","1.48(1.47-1.49)","3.05(3.04-3.07)",156
"Colombia","3.29(3.19-3.39)","1.11(1.06-1.17)","4.62(4.51-4.74)","2.11(2.02-2.19)","0.62(0.58-0.67)","2.79(2.69-2.88)",170
"Comoros","0.24(0.08-0.40)","0.27(0.08-0.46)","0.51(0.26-0.76)","0.18(0.04-0.31)","0.19(0.02-0.37)","0.37(0.15-0.59)",174
"Congo - Brazzaville","0.29(0.18-0.41)","0.24(0.17-0.32)","0.64(0.49-0.79)","0.23(0.11-0.34)","0.16(0.10-0.23)","0.46(0.32-0.59)",178
"Congo - Kinshasa","0.39(0.35-0.42)","0.44(0.41-0.48)","0.98(0.92-1.03)","0.33(0.29-0.36)","0.37(0.33-0.40)","0.84(0.78-0.89)",180
"Costa Rica","2.91(2.66-3.17)","1.14(0.99-1.29)","4.12(3.82-4.42)","2.27(2.03-2.50)","0.70(0.57-0.83)","3.00(2.72-3.27)",188
"Croatia","6.38(6.11-6.65)","3.56(3.37-3.76)","10.01(9.67-10.35)","4.23(4.00-4.47)","2.00(1.84-2.16)","6.28(6.00-6.57)",191
"Cuba","4.97(4.78-5.15)","0.94(0.87-1.01)","6.06(5.86-6.26)","3.79(3.62-3.96)","0.47(0.41-0.52)","4.30(4.12-4.48)",192
"Cyprus","4.52(4.02-5.03)","1.72(1.41-2.03)","6.35(5.75-6.95)","3.68(3.19-4.18)","0.80(0.58-1.03)","4.53(3.99-5.08)",196
"Czechia","4.57(4.42-4.72)","2.55(2.44-2.66)","7.33(7.15-7.52)","2.42(2.30-2.53)","1.36(1.27-1.44)","3.91(3.76-4.06)",203
"Benin","0.88(0.72-1.04)","0.50(0.38-0.63)","1.46(1.26-1.67)","0.76(0.60-0.91)","0.46(0.34-0.58)","1.27(1.07-1.47)",204
"Denmark","8.91(8.63-9.19)","3.30(3.13-3.46)","12.41(12.08-12.74)","3.25(3.07-3.44)","0.92(0.82-1.01)","4.29(4.08-4.50)",208
"Dominican Republic","3.29(3.07-3.51)","0.38(0.31-0.44)","3.70(3.47-3.94)","1.90(1.73-2.07)","0.19(0.14-0.24)","2.11(1.93-2.29)",214
"Ecuador","2.75(2.59-2.92)","0.81(0.72-0.90)","3.75(3.56-3.95)","1.75(1.61-1.89)","0.45(0.38-0.52)","2.25(2.09-2.41)",218
"El Salvador","2.27(2.03-2.51)","0.39(0.30-0.48)","2.71(2.45-2.97)","1.38(1.19-1.57)","0.21(0.13-0.28)","1.60(1.39-1.80)",222
"Equatorial Guinea","0.20(0.12-0.28)","0.09(0.03-0.16)","0.33(0.23-0.44)","0.13(0.07-0.20)","0.08(0.02-0.14)","0.25(0.16-0.34)",226
"Ethiopia","0.79(0.75-0.83)","0.58(0.54-0.62)","1.43(1.37-1.48)","0.58(0.55-0.62)","0.44(0.40-0.47)","1.06(1.01-1.11)",231
"Eritrea","0.67(0.46-0.87)","0.60(0.40-0.81)","1.28(0.99-1.57)","0.56(0.36-0.76)","0.51(0.31-0.71)","1.08(0.80-1.36)",232
"Estonia","5.53(5.09-5.98)","2.87(2.55-3.18)","8.48(7.93-9.03)","3.21(2.86-3.56)","1.61(1.36-1.85)","4.88(4.44-5.31)",233
"Fiji","1.27(0.74-1.79)","1.02(0.53-1.51)","2.37(1.64-3.09)","0.94(0.43-1.44)","0.87(0.39-1.35)","1.81(1.11-2.51)",242
"Finland","4.80(4.60-5.00)","2.44(2.30-2.58)","7.30(7.05-7.54)","2.05(1.91-2.18)","1.03(0.93-1.12)","3.11(2.95-3.28)",246
